"Delivery period:","Levertijd:"
"Click on the seal to check validity!","Klik op het embleem on de geldigheid te controleren!"
"is a certified online shop with Trusted Shops Certificate","is een gecertificeerde online winkel met Trusted Shops Certificaat"
"more...","meer..."
"Details for diecrema.de","Meer informatie over DieCrema.be"
"diecrema.de","DieCrema.be"
"All Rights Reserved.","All Rights Reserved."
"All prices include VAT and exclude","Alle prijzen zijn inclusief BTW en exclusief"
"All prices include VAT","Alle prijzen zijn inclusief BTW"
"Productinfo","Product-Info"
"Specifications","Specificaties"
"Instructions","Instructies"
"News","Nieuws"
"Your shop for espresso machines and coffee","DieCrema.be - Uw winkel voor espressomachines en koffie"
"We warmly welcome you to our online store DieCrema. Here you will find all you need to know about espresso machines, coffee machines, coffee grinders and espresso varieties. We offer only products of the highest quality having spent the last few years turning a much-loved hobby into a profession.","U bent van harte welkom in onze online winkel DieCrema. Hier vindt u alles wat u moet weten over espressomachines, koffiemachines, koffiemolens en espresso varianten. Wij bieden alleen producten van de hoogste kwaliteit, omdat we de afgelopen jaren van een geliefde hobby een beroep hebben gemaakt."
"In our DieCrema online store, you will find everything about portafilter espresso machines, coffee grinders and espresso beans. We deal with the issue for several years espresso and strive only for quality goods. DieCrema stands for quality and enjoyment. Espresso should taste, but this is only possible with the correct filter holder espresso machine, a good grinder and the right coffee. Ask. Imagine that you are sitting on a summer day in Italy, at an outdoor café and an espresso A pleasurable moment. We want to give you this moment. With our original espresso varieties, for example Hausbrandt, along with a Bezzera espresso machine and a Mazzer coffee grinder, we bring you the feel of a real Italian cafes directly home.","xxx"
"We are an authorized trading partner of ATT, Ascaso, Bezzera, conceptart, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap, Nuova Ricambi, Nuova Simonelli, Quickmill, Rocket Espresso, Vibiemme and WaterAndMore.","Wij zijn een geautoriseerde handelspartner van ATT, Ascaso, Bezzera, conceptart, Danesi, Elektra, Eureka, Faema, Hausbrandt, Ilsa, LaCimbali, LaMarzocco, LaPavoni, Mazzer, Macap, Nuova Ricambi, Nuova Simonelli, Quickmill, Rocket Espresso, Vibiemme en WaterAndMore."
"Trusted Shops certificate of quality","Trusted Shops Kwaliteitscertificaat"
"Certificate of quality","Kwaliteitscertificaat"
"Please check validity!","Controleer de geldigheid!"
"Buyer protection","Kopersbescherming"
"As an additional service, we offer you the Trusted Shops buyer protection.","Als extra service bieden wij u de Trusted Shops kopersbescherming."
"We assume all the costs of this warranty, you only have to register.","We gaan ervan uit alle kosten van deze garantie, hoef je alleen maar te registreren."
"Registration for the Trusted Shops buyer protection","De inschrijving voor de Trusted Shops kopersbescherming"
"Authorized partners","Geautoriseerde partners"
"I want to subscribe to the newsletter","Ik wil de nieuwsbrief subscribe (uitschrijven op elk moment)."
